,Character,Text,total_number,Label
3791,Aang,  two ,16,positive
3792,Katara,  he tried to get the first fishhook out with another fishhook ,16,positive
3793,Sokka,  oh  and the time that mink snake bit me  thanks for healing that up  that was great  really helpful ,16,positive
3797,Aang,  arent airbender stories the greatest   ,17,positive
3798,Katara,  was it realistic  is that how it was back then ,17,positive
3800,Aang,i laugh at gravity all the time    gravity ,17,positive
3803,Sokka,sorry    ,17,positive
3806,Aang,  hey  thanks for the story ,17,positive
3810,Aang,  it means a lot to hear airbender stories  it must have been a hundred years ago your great grandpa met them ,17,positive
3813,Aang,  hey  were almost at the northern air temple  this is where they had the championships for sky bison polo ,17,positive
3814,Katara,  do you think well really find airbenders ,17,positive
3815,Sokka,  you want me to be like you  or totally honest ,17,positive
3816,Katara,  are you saying im a liar ,17,positive
3817,Sokka,  im saying youre an optimist  same thing  basically ,17,positive
3818,Aang,  hey  guys  look at this ,17,positive
3820,Katara,  they really are airbenders ,17,positive
3821,Aang,  no  theyre not ,17,positive
3822,Sokka,  what do you mean  theyre not   those guys are flying ,17,positive
3823,Aang,  gliding maybe  but not flying  you can tell by the way they move  theyre not airbending  those people have no spirit ,17,positive
3825,Katara,i dont know  aang   that kid seemed pretty spirited   ,17,positive
3827,Sokka,we better find some solid ground  before it finds us   ,17,positive
3831,Aang,  yeah  i know  but i can do more than fancy gliding ,17,positive
3836,Aang,  its great ,17,positive
3839,Aang,  thanks ,17,positive
3840,Sokka,  wow  this glider chair is incredible ,17,positive
3843,Sokka,wow   ,17,positive
3845,Aang,  this place is unbelievable ,17,positive
3847,Aang,no  just unbelievable   ,17,positive
3848,Katara,  aang used to come here a long time ago  i think hes a little shocked its so     different ,17,positive
3849,Sokka,so better ,17,positive
3851,Aang,this is supposed to be the history of my people ,17,positive
3853,Aang,ugh ,17,positive
3854,Katara,  im sure some parts of the temple are still the same ,17,positive
3856,Aang,its nice to see that at least one part of the temple that isnt ruined ,17,positive
3861,Aang,  do you know what you did   you just destroyed something sacred  for a stupid bathhouse ,17,positive
3863,Aang,  this whole place stinks   ,17,positive
3865,Aang,this is a sacred temple  you cant treat it this way    ive seen it when the monks were here  i know what its supposed to be like ,17,positive
3869,Aang,what are you doing  who said you could be here ,17,positive
3871,Aang,our gliders ,17,positive
3873,Aang,nature knows where to stop ,17,positive
3875,Sokka,wait  how can you tell the time from that thing  the notches all look the same ,17,positive
3877,Sokka,you put spark powder in the candle ,17,positive
3879,Sokka,  aaah ,17,positive
3883,Aang,i just cant get over it  theres not a single thing thats the same ,17,positive
3885,Katara,  youre right  theyre kind of keepers of the temples origins   ,17,positive
3888,Katara,hey  its just like the one in the other temple ,17,positive
3890,Katara,  aang ,17,positive
3891,Aang,  im sorry  this is the last part of the temple thats the same as it was  i want it to stay that way ,17,positive
3893,Aang,thanks   ,17,positive
3895,Sokka,these lanterns are terrible  i cant see    why would you want to use fireflies for light   ,17,positive
3899,Sokka,  okay     so you brought me all the way down here to see an empty room ,17,positive
3901,Sokka,so  this place is an explosion waiting to happen ,17,positive
3905,Katara,  ive changed my mind  i think i was born without that something ,17,positive
3907,Aang,spirit ,17,positive
3909,Aang,spirit  thats the something youre talking about ,17,positive
3913,Katara,no    aaaaah    i cant believe im flying ,17,positive
3915,Aang,just make sure you keep your mouth closed so you dont swallow a bug   ,17,positive
3916,Katara,teo was right about the air  all i had to do was trust it  let it carry me ,17,positive
3917,Aang,even though teos not an airbender  he really does have the spirit of one    ive been thinking  if you want to see whats in that room  id be happy to open the door for you ,17,positive
3919,Katara,wait    how do i land this thing  what if i land over   a ack ack bleck  bug  bug  ack  that was a bug ,17,positive
3922,Sokka,  ugh  week old egg smell ,17,positive
3927,Sokka,how can something so small that you cant even see it make such a big stink  ,17,positive
3930,Sokka,yeah       if we put a whole mess of rotten eggs in the cellar where the gas seeps up    ,17,positive
3932,Sokka,then  if theres a leak    ,17,positive
3934,Sokka,and plug up the hole where the gas is escaping ,17,positive
3939,Aang,this is a nightmare ,17,positive
3941,Aang,  youre making weapons for the fire nation ,17,positive
3942,Sokka,  you make weapons for the fire nation  ,17,positive
3946,Aang,when are they coming ,17,positive
3948,Aang,you cant give them more weapons ,17,positive
3957,Aang,the deals off ,17,positive
3961,Aang,get out of here    youre leaving empty handed ,17,positive
3965,Sokka,very bad ,17,positive
3966,Katara,aang  what are we going to do  how can we possibly keep them all away ,17,positive
3967,Aang,ill tell you how  we have something they dont    air power  we control the sky  thats something the fire nation cant do  we can win ,17,positive
3969,Aang,good  well need it ,17,positive
3972,Sokka,thank you  youre a genius ,17,positive
3974,Sokka,see  the problem with the old war balloon was you could get it air borne    but once it did  it just kept going    you could put a hole in the top  but then all the hot air would escape  so the question became  how do you keep a lid on hot air ,17,positive
3975,Katara,ugh  if only we knew   ,17,positive
3976,Sokka,a lid is actually the answer  if you control the hot air  you control the war balloon ,17,positive
3977,Katara,huh  thats actually pretty smart ,17,positive
3978,Sokka,okay  weve got four kinds of bombs    smoke  slime  fire  and    ,17,positive
3983,Katara,  yes  but wheres sokka with the war balloon ,17,positive
3984,Aang,  well have to start without it ,17,positive
3988,Aang,weve got them on the run  we need more slime ,17,positive
3990,Katara,those things are unstoppable ,17,positive
3992,Katara,water  can you get me close to one ,17,positive
3996,Katara,come on sokka    wheres that war balloon ,17,positive
3998,Sokka,hey  why arent they shooting at us ,17,positive
4000,Sokka,  then i guess they wont see this coming   ,17,positive
4003,Sokka,oh no  that was the last one   ,17,positive
4005,Sokka,rotten eggs    there  thats were the gas is escaping ,17,positive
4008,Sokka,its the only bomb weve got ,17,positive
4010,Aang,look  theyre retreating   ,17,positive
4011,Sokka,  were going down ,17,positive
4012,Katara,  no  sokka  hold on   ,17,positive
4014,Sokka,  get ready ,17,positive
4016,Aang,you know what    im really glad you guys all live here now    i realized  its like the hermit crab    maybe you werent born here  but you found this empty shell and made it your home  and now you protect each other ,17,positive
4018,Sokka,  aang you were right about air power  as long as weve got the skies  well have the fire nation on the run   ,17,positive
4024,Sokka,  im not one to complain    but cant appa fly any higher ,18,positive
4026,Aang,  i have an idea  why dont we all get on your   back and you could fly us to the north pole  ,18,positive
4027,Sokka,  id love to    climb on everyone    sokkas ready for take off ,18,positive
4029,Katara,  look  were all just a little tired and cranky because weve been flying for two days straight ,18,positive
4030,Sokka,  and for what  we cant even find the northern water tribe    theres nothing up here ,18,positive
4032,Katara,theyre waterbenders    we found the water tribe ,18,positive
4038,Aang,  there it is ,18,positive
4039,Katara,  the northern water tribe ,18,positive
4040,Sokka,  were finally here ,18,positive
4042,Katara,  i cant believe how many waterbenders live up here ,18,positive
4043,Aang,  well find a master to teach us  no problem ,18,positive
4045,Katara,this place is beautiful ,18,positive
4046,Sokka,yeah     she is    ,18,positive
4048,Iroh,  winter  spring     summer  and fall     winter  spring     summer  and fall     four seasons     four loves     four seasons     for love ,18,positive
4054,Sokka,hi there  sokka  southern water tribe ,18,positive
4056,Sokka,  so     uhhh     youre a princess  huh    you know  back in my tribe  im kind of like a prince  myself   ,18,positive
4057,Katara,  ha  prince of what ,18,positive
4058,Sokka,a lot of things  do you mind  im trying to have a conversation here ,18,positive
4059,Katara,  my apologies  prince sokka ,18,positive
4060,Sokka,so  it looks like im going to be in town for a while  im thinking     maybe we could     do an activity  together ,18,positive
4063,Katara,very smooth    ,18,positive
4067,Aang,my friend and i cant wait to start training with you  after we relax for a couple of days ,18,positive
4070,Zuko,for the last time  im not playing the tsungi horn ,18,positive
4071,Iroh,no  its about our plans  theres a bit of a problem ,18,positive
4074,Zuko,  what    ,18,positive
4076,Zuko,uncle  is that true ,18,positive
4077,Iroh,im afraid so  hes taking everyone       even the cook ,18,positive
4079,Iroh,  no ,18,positive
4082,Zuko,im not  theyre antiques  just decorative ,18,positive
4084,Iroh,just rumors  i dont think he is real ,18,positive
4087,Katara,  ive waited for this day my whole life  i finally get to learn from a real waterbending master ,18,positive
4089,Aang,good morning  master pakku ,18,positive
4091,Aang,uhhh     this is my friend  katara  the one i told you about ,18,positive
4094,Katara,  what do you mean you wont teach me  i didnt travel across the entire world so you could tell me no ,18,positive
4096,Katara,but there must be other female waterbenders in your tribe ,18,positive
4098,Katara,i dont want to heal  i want to fight ,18,positive
4100,Katara,  well  your rules stink ,18,positive
4101,Aang,  yeah  theyre not fair  if you wont teach katara  then    ,18,positive
4103,Aang,then i wont learn from you ,18,positive
4105,Katara,wait  aang didnt mean that    you cant risk your training for me  you have to learn from master pakku  even if he is a big jerk ,18,positive
4109,Sokka,princess yue  good morning  how about that picnic last night  boy  your dad sure does know how to throw a party ,18,positive
4111,Sokka,well  it wasnt as much fun after you left    so  im still hoping we can see more of each other ,18,positive
4113,Sokka,yes     at a place     for some time ,18,positive
4115,Sokka,great  ill see you  ah   ,18,positive
4117,Sokka,  thats okay  it was worth it  see you tonight ,18,positive
4125,Katara,uhhh     hi  are you yagoda ,18,positive
4127,Katara,  i guess i am ,18,positive
4131,Aang,im trying    ,18,positive
4134,Katara,thanks for the lesson ,18,positive
4136,Katara,huh ,18,positive
4138,Katara,  ah     no  i dont think im ready for that yet  my grandmother gave my mother this necklace and my mother passed it down to me ,18,positive
4140,Katara,  wait  how do you know my gran grans name ,18,positive
4142,Katara,she never told me ,18,positive
4144,Katara,if gran gran was engaged  why did she leave ,18,positive
4149,Iroh,  the crew wanted me to wish you safe travels ,18,positive
4150,Zuko,  good riddance to those traitors ,18,positive
4151,Iroh,its a lovely night for a walk  why dont you join me  it would clear your head    or just stay in your room and sit in the dark  whatever makes you happy ,18,positive
4154,Zuko,  uncle  uncle  is that you   ,18,positive
4156,Iroh,zuko    zuko    ,18,positive
4158,Sokka,hi  princess yue  i made you something  i carved it myself ,18,positive
4161,Sokka,actually  its supposed to be a fish    see  it has a fin ,18,positive
4164,Katara,hows warrior training going   ,18,positive
4165,Aang,that bad ,18,positive
4166,Sokka,no  its princess yue  i dont get it  one minute she wants to go out with me  and the next  shes telling me to get lost    so  hows waterbending training ,18,positive
4167,Aang,master poophead wont teach her because shes a girl ,18,positive
4168,Sokka,why dont you just teach her  aang ,18,positive
4169,Katara,  why didnt i think of that  at night  you can teach me whatever moves you learn from master pakku  that way  you have someone to practice with  and i get to learn waterbending  everyones happy ,18,positive
4170,Sokka,im not happy ,18,positive
4171,Katara,but youre never happy  come on  aang ,18,positive
4173,Aang,  master pakku said this move is all about sinking and floating   ,18,positive
4174,Katara,  i got it ,18,positive
4176,Aang,that was amazing ,18,positive
4177,Katara,that wasnt me ,18,positive
4179,Aang,i was just showing katara a few moves ,18,positive
4181,Aang,im sorry  i    ,18,positive
4185,Katara,yes     please ,18,positive
4187,Katara,fine ,18,positive
4189,Katara,no    no way am i apologizing to a sour old man like you   ,18,positive
4190,Aang,uhhh     katara ,18,positive
4191,Katara,ill be outside if youre man enough to fight me ,18,positive
4193,Aang,im sure she didnt mean that ,18,positive
4194,Sokka,yeah  i think she did ,18,positive
4197,Iroh,the fire lord will not be pleased when he learns who was responsible ,18,positive
4199,Iroh,yes     pirates  we had a run in with them a while back  they wanted revenge ,18,positive
4201,Iroh,yes  i accept  it will be an honor to serve as your general  to the fire nation ,18,positive
4204,Sokka,are you crazy  katara  youre not going to win this fight ,18,positive
4205,Katara,  i know  i dont care ,18,positive
4206,Aang,you dont have to do this for me  i can find another teacher ,18,positive
4207,Katara,im not doing it for you  someone needs to slap some sense into that guy    so  you decided to show up    arent you going to fight ,18,positive
4210,Katara,  you cant knock me down ,18,positive
4212,Aang,go  katara ,18,positive
4215,Katara,but you still wont teach me  will you ,18,positive
4219,Katara,come back here  im not finished yet ,18,positive
4221,Katara,no  its not  its mine  give it back ,18,positive
4223,Katara,  my gran gran was supposed to marry you ,18,positive
4225,Iroh,our plan is working perfectly  zhao doesnt suspect a thing ,18,positive
4226,Zuko,you didnt have to do this ,18,positive
4227,Iroh,no nephew of mine is going to stow away on a ship without some backup ,18,positive
4228,Zuko,thank you  uncle ,18,positive
4230,Iroh,someones coming  stay hidden until we get to the north pole and the avatar will be yours  good luck   ,18,positive
4233,Katara,but she didnt love you  did she  it was an arranged marriage  gran gran wouldnt let your tribes stupid customs run her life  thats why she left  it must have taken a lot of courage ,18,positive
4235,Aang,  go get her ,18,positive
4238,Sokka,nothing  i just want you to know  i think youre beautiful  and  i never thought a girl like you would even notice a guy like me ,18,positive
4240,Sokka,no  no  see  thats the thing  i think i do understand now  youre a princess  and im     im just a southern peasant ,18,positive
4242,Sokka,its okay  you dont have to say anything  ill see you around  okay    okay  now im really confused  happy  but confused ,18,positive
4247,Aang,hey  katara ,18,positive
4249,Aang,good to see you here ,18,positive
4250,Katara,you  too ,18,positive
4257,Aang,  yes  master pakku ,19,positive
4259,Aang,  i wouldnt say mastered  but check this out ,19,positive
4262,Sokka,  are you kidding  i grew up in a block of ice  its not exactly a cultural hub ,19,positive
4264,Sokka,  whats wrong  were taking a walk ,19,positive
4266,Sokka,  i know what you need    you need to meet my good friend  appa ,19,positive
4269,Sokka,  appa and i go way back  dont we  boy    ah  ah  easy  down boy  agh  no  up ,19,positive
4273,Sokka,you holding on tight    yip       yip ,19,positive
4276,Sokka,  yeah  we pretty much live up here ,19,positive
4278,Sokka,  not when youre with someone ,19,positive
4280,Sokka,yeah       woo  yeah  ahhh  good times  good times    hey  look ,19,positive
4282,Sokka,  oh no    ,19,positive
4284,Sokka,  soot ,19,positive
4287,Sokka,ive seen this before  right before my village was attacked  its soot mixed with snow   ,19,positive
4289,Sokka,  its the fire nation    theyve closed in on the north pole and from the looks of this stuff    id say theres a lot of them ,19,positive
4292,Iroh,  be careful what you wish for  admiral  history is not always kind to its subjects ,19,positive
4294,Iroh,  i hope not  for your sake ,19,positive
4297,Iroh,  well be landing soon  do you have a plan ,19,positive
4298,Zuko,  im working on it  uncle   ,19,positive
4300,Sokka,  whats wrong    we have to go ,19,positive
4302,Sokka,  what  were just friends ,19,positive
4304,Sokka,you dont love him  do you  you dont even seem to like him ,19,positive
4306,Sokka,  youre not marrying them ,19,positive
4310,Sokka,  count me in ,19,positive
4311,Katara,sokka    ,19,positive
4316,Aang,i wasnt there when the fire nation attacked my people    im going to make a difference this time ,19,positive
4318,Aang,yip yip ,19,positive
4320,Sokka,  katara ,19,positive
4322,Aang,ill take it from here  boy ,19,positive
4324,Aang,  appa ,19,positive
4326,Aang,thanks for the rescue  buddy ,19,positive
4328,Aang,  youve got to be kidding me    ,19,positive
4333,Sokka,fire navy uniforms dont look like that ,19,positive
4335,Sokka,  when  like  a hundred years ago ,19,positive
4337,Sokka,  the fire nation doesnt wear shoulder spikes anymore  the newer uniforms are more streamlined ,19,positive
4341,Sokka,his name is zhao  middle aged    big sideburns  bigger temper    ,19,positive
4343,Sokka,  princess yues marrying you ,19,positive
4345,Sokka,  nothing  congratulations ,19,positive
4349,Iroh,its almost twilight  admiral  as your military consultant  i must advise you to halt your attack    the waterbenders draw their power from the moon  and it is nearly full tonight  you should wait and resume the attack at daybreak   ,19,positive
4354,Katara,aang ,19,positive
4356,Aang,  i cant do it     i cant do it ,19,positive
4357,Katara,what happened ,19,positive
4358,Aang,  i must have taken out a dozen fire navy ships  but theres just too many of them  i cant fight them all ,19,positive
4360,Aang,  im just one kid ,19,positive
4362,Iroh,if youre fishing for an octopus my nephew  you need a tightly woven net  or he will squeeze through the tiniest hole and escape ,19,positive
4363,Zuko,i dont need your wisdom right now  uncle ,19,positive
4364,Iroh,im sorry  i just nag you  because     well    ever since i lost my son    ,19,positive
4365,Zuko,uncle  you dont have to say it ,19,positive
4366,Iroh,    i think of you as my own ,19,positive
4367,Zuko,  i know  uncle  well meet again    after i have the avatar   ,19,positive
4368,Iroh,remember your breath of fire  it could save your life out there ,19,positive
4369,Zuko,i will   ,19,positive
4370,Iroh,and put your hood up  keep your ears warm ,19,positive
4371,Zuko,ill be fine ,19,positive
4374,Sokka,  perks  what does that mean ,19,positive
4376,Sokka,  princess yue is wasted on a self absorbed weasel like you ,19,positive
4378,Sokka,  youre just a jerk without a soul  no offense ,19,positive
4383,Sokka,  its admiral zhao ,19,positive
4385,Zuko,  where are they going    theyre coming up for air somewhere ,19,positive
4388,Katara,ive always noticed my waterbending is stronger at night ,19,positive
4390,Aang,  the spirits    maybe i can find them and get their help ,19,positive
4392,Katara,  the avatar is the bridge between our world and the spirit world  aang can talk to them ,19,positive
4394,Aang,  or maybe theyll unleash a crazy amazing spirit attack on the fire nation    or wisdom  thats good  too ,19,positive
4395,Katara,the only problem is  last time you got to the spirit world by accident  how are you going to get there this time ,19,positive
4398,Aang,  so  is this the way to the spirit world ,19,positive
4401,Aang,  i never thought id miss grass this much ,19,positive
4402,Katara,  its so warm here  how is that possible ,19,positive
4405,Aang,youre right  yue  i can feel     something  its so tranquil   ,19,positive
4407,Zuko,  be quiet ,19,positive
4410,Sokka,  oh  no  hahns out there on the top secret mission while im here sharpening my boomerang  everythings fine ,19,positive
4412,Sokka,what  you want me to scrub the barracks ,19,positive
4414,Sokka,  oh     sure  that     shouldnt be too hard ,19,positive
4417,Katara,hes meditating  trying to cross over into the spirit world    it takes all his concentration ,19,positive
4419,Aang,  how about some quiet  come on guys  i can hear every word youre saying ,19,positive
4422,Katara,hes crossing into the spirit world  hell be fine as long as we dont move his body    thats his way back to the physical world ,19,positive
4424,Katara,  no  hes my friend  im perfectly capable of protecting him ,19,positive
4425,Zuko,  well  arent you a big girl now ,19,positive
4426,Katara,  no    ,19,positive
4427,Zuko,  yes  hand him over and i wont have to hurt you ,19,positive
4429,Zuko,  i see youve learned a new trick  but i didnt come this far to lose to you ,19,positive
4431,Zuko,you little peasant  youve found a master  havent you ,19,positive
4435,Zuko,you rise with the moon     i rise with the sun ,19,positive
4439,Katara,aang ,19,positive
4441,Sokka,what happened  wheres zuko ,19,positive
4442,Katara,  he took aang  he took him right out from under me ,19,positive
4444,Sokka,  where did they go    ,19,positive
4448,Katara,  i cant believe i lost him ,20,positive
4450,Sokka,you did everything you could  and now we need to do everything we can to get him back    zuko cant have gotten far  well find him  aangs gonna be fine ,20,positive
4451,Katara,okay    its all right  you stay here  momo  in case aang comes back ,20,positive
4452,Sokka,yip  yip ,20,positive
4454,Aang,hello  im sorry to disturb you  i just really need to find the moon and the ocean spirits ,20,positive
4456,Aang,yes  i need  ,20,positive
4459,Aang,come back ,20,positive
4462,Aang,  roku ,20,positive
4464,Zuko,shelter   ,20,positive
4466,Aang,roku  the water tribes under attack  i need to find the ocean and the moon spirits ,20,positive
4468,Aang,who ,20,positive
4471,Zuko,i finally have you  but i cant get you home because of this blizzard    theres always something  not that you would understand  youre like my sister  everything always came easy to her  shes a firebending prodigy  and everyone adores her  my father says she was born lucky  he says i was lucky to be born  i dont need luck  though  i dont want it  ive always had to struggle and fight and thats made me strong  its made me who i am ,20,positive
4473,Iroh,i dont need to remind you we have a time limit  if we dont defeat the water tribe before the full moon rises  they will be undefeatable ,20,positive
4475,Iroh,  remove the moon  how ,20,positive
4480,Iroh,what ,20,positive
4482,Iroh,  zhao  the spirits are not to be trifled with ,20,positive
4485,Aang,youre just a curly tailed blue nose ,20,positive
4487,Aang,  aaahhh    show no fear  show no emotion at all ,20,positive
4489,Aang,hello  i im looking for a spirit named koh ,20,positive
4493,Aang,  thank you   ,20,positive
4495,Aang,you know me ,20,positive
4497,Aang,  i didnt know that  why did he  or i  try to kill you ,20,positive
4500,Zuko,guess well be here awhile ,20,positive
4503,Katara,im not worried theyll get away in the blizzard  im worried that they wont ,20,positive
4504,Sokka,theyre not going to die in this blizzard  if we know anything  its that zuko never gives up  theyll survive  and well find them ,20,positive
4507,Aang,i need to find the moon and the ocean ,20,positive
4509,Aang,  please  help me find them  an entire culture could be destroyed if i dont get their help   ,20,positive
4511,Aang,what do you mean  how can i find them and protect them ,20,positive
4514,Aang,  the koi fish    i must be going now ,20,positive
4517,Aang,the spirits are in trouble  i need to get back to the physical world ,20,positive
4519,Aang,  hei bai ,20,positive
4523,Aang,this is where i came in  but how do i get back ,20,positive
4527,Aang,momo    momo  oh no  wheres my body ,20,positive
4529,Katara,look  thats gotta be aang  yip yip ,20,positive
4531,Zuko,welcome back ,20,positive
4532,Aang,  its good to be back ,20,positive
4534,Zuko,  that wont be enough to escape ,20,positive
4535,Aang,  appa ,20,positive
4537,Zuko,  here for a rematch ,20,positive
4538,Katara,  trust me zuko  its not going to be much of a match ,20,positive
4540,Sokka,hey  this is some quality rope ,20,positive
4541,Aang,we need to get to the oasis  the spirits are in trouble ,20,positive
4543,Aang,wait  we cant just leave him here ,20,positive
4544,Sokka,sure we can  lets go ,20,positive
4545,Aang,no  if we leave him hell die ,20,positive
4547,Sokka,  yeah  this makes a lot of sense  lets bring the guy whos constantly trying to kill us ,20,positive
4549,Sokka,  are you okay ,20,positive
4551,Aang,  i feel it  too  the moon spirit is in trouble ,20,positive
4553,Sokka,what do you mean ,20,positive
4558,Aang,  zhao  dont ,20,positive
4560,Aang,  destroying the moon wont hurt just the water tribe    it will hurt everyone  including you    without the moon  everything would fall out of balance  you have no idea what kind of chaos that would unleash on the world   ,20,positive
4561,Iroh,  he is right zhao ,20,positive
4563,Iroh,  im no traitor  zhao  the fire nation needs the moon  too  we all depend on the balance  whatever you do to that spirit ill unleash on you ten fold  let it go  now ,20,positive
4566,Aang,  no  its not over ,20,positive
4569,Zuko,  you tried to have me killed   ,20,positive
4571,Zuko,i had no choice   ,20,positive
4574,Katara,its too late  its dead ,20,positive
4575,Iroh,  you have been touched by the moon spirit    some of its life is in you ,20,positive
4577,Sokka,no  you dont have to do that   ,20,positive
4579,Sokka,i wont let you    your father told me to protect you ,20,positive
4582,Sokka,  no  shes gone  shes gone ,20,positive
4588,Zuko,take my hand ,20,positive
4591,Katara,what about aang  he still needs to learn waterbending ,20,positive
4595,Sokka,you must be proud ,20,positive
4598,Iroh,im surprised prince zuko  surprised that you are not at this moment trying to capture the avatar ,20,positive
4599,Zuko,im tired ,20,positive
4600,Iroh,then you should rest  a man needs his rest ,20,positive
4602,Katara,you too  momo ,20,positive
4603,Aang,come here ,20,positive
4609,Katara,  aang    ,21,positive
4611,Katara,do you want to talk about it ,21,positive
4612,Aang,nah  just a nightmare  i was in the avatar state  but i was outside my body watching myself  it was scary  i was scary   ,21,positive
4615,Katara,  thank you  master pakku ,21,positive
4617,Aang,appa  yip yip ,21,positive
4618,Katara,  say hi to gran gran for me ,21,positive
4620,Iroh,this is what ive been missing  who knew floating on a piece of driftwood for three weeks with no food or water  and sea vultures waiting to pluck out your liver could make one so tense    i see  its the anniversary  isnt it ,21,positive
4621,Zuko,  three years ago today  i was banished  i lost it all    i want it back  i want the avatar  i want my honor  my throne  i want my father not to think im worthless   ,21,positive
4622,Iroh,im sure he doesnt  why would he banish you if he didnt care    uh  that came out wrong  didnt it   ,21,positive
4624,Azula,  my brother and my uncle have disgraced the fire lord  and have brought shame on all of us  you might have mixed feelings about attacking members of the royal family  i understand  but i assure you  if you hesitate  i will not hesitate to bring you down  dismissed ,21,positive
4627,Azula,im sorry  captain  but i do not know much about the tides  could you explain something to me ,21,positive
4629,Azula,do the tides command this ship ,21,positive
4631,Azula,you said the tides would not allow us to bring the ship in    do the tides command this ship ,21,positive
4633,Azula,and if i were to have you thrown overboard  would the tides think twice about smashing you against the rocky shore ,21,positive
4635,Azula,  well then  maybe you should worry less about the tides who have already made up their mind about killing you  and worry more about me  whos still mulling it over   ,21,positive
4638,Sokka,  there it is ,21,positive
4641,Katara,  mighty katara  i like that ,21,positive
4643,Sokka,  not bad  not bad ,21,positive
4646,Aang,  i try not to think about it too much ,21,positive
4648,Aang,  what  no im not ,21,positive
4649,Katara,  aang still needs to master all four elements ,21,positive
4651,Sokka,but sir  the thing is  aang can only do those things when hes in the avatar state ,21,positive
4652,Aang,see  its this special state where ,21,positive
4654,Aang,  right  but  i dont know how to get in or out of the avatar state  much less what to do once im there ,21,positive
4656,Katara,  no  nothings decided  we already have a plan  aangs pursuing his destiny his way ,21,positive
4661,Azula,  almost isnt good enough ,21,positive
4663,Aang,general fong ,21,positive
4665,Aang,im in  ill fight the fire lord ,21,positive
4667,Aang,  i told the general id help him  by going into the avatar state ,21,positive
4668,Katara,  aang  no  this is not the right way ,21,positive
4669,Sokka,  why not  remember when he took out the fire navy    he was incredible ,21,positive
4670,Katara,theres a right way to do this  practice  study  and discipline ,21,positive
4671,Sokka,  or just glow it up and stop that fire lord ,21,positive
4672,Katara,  if you two meat heads want to throw away everything weve worked for  fine  go ahead and glow it up   ,21,positive
4673,Aang,katara  im just being realistic  i dont have time to do this the right way ,21,positive
4676,Aang,ten fold energy  huh ,21,positive
4678,Aang,  is it working  is it working  i cant tell  somebody tell me if im in the avatar state cause i dont have a good view of myself  am i talking too loud ,21,positive
4679,Sokka,  i guess he could talk the fire lord to death ,21,positive
4681,Sokka,maybe i can shock you into the avatar state ,21,positive
4682,Aang,i love surprises ,21,positive
4684,Aang,  still not glowing ,21,positive
4688,Aang,  this is just mud ,21,positive
4693,Iroh,  look at these magnificent shells    ill enjoy these keepsakes for years to come ,21,positive
4694,Zuko,we dont need any more useless things  you forget  we have to carry everything ourselves now ,21,positive
4695,Azula,  hello  brother  uncle ,21,positive
4696,Zuko,  what are you doing here ,21,positive
4697,Azula,  in my country  we exchange a pleasant hello before asking questions    have you become uncivilized so soon  zuzu ,21,positive
4698,Zuko,  dont call me that ,21,positive
4699,Iroh,  to what do we owe this honor ,21,positive
4700,Azula,hmmm     must be a family trait  both of you so quick to get to the point    ive come with a message from home  fathers changed his mind  family is suddenly very important to him  hes heard rumors of plans to overthrow him  treacherous plots  family are the only ones you can really trust    father regrets your banishment  he wants you home    did you hear me  you should be happy  excited  grateful  i just gave you great news ,21,positive
4701,Iroh,im sure your brother simply needs a moment ,21,positive
4702,Azula,  dont interrupt  uncle    i still havent heard my thank you    im not a messenger  i didnt have to come all this way ,21,positive
4703,Zuko,  father regrets  he     wants me back ,21,positive
4704,Azula,i can see you need time to take this in  ill come to call on you tomorrow  good evening ,21,positive
4706,Katara,can we talk about something ,21,positive
4707,Aang,sure ,21,positive
4708,Katara,  do you remember when we were at the air temple and you found monk gyatsos skeleton  it must have been so horrible and traumatic for you  i saw you get so upset that you werent even you anymore    im not saying the avatar state doesnt have incredible and helpful power     but you have to understand     for the people who love you  watching you be in that much rage and pain is really scary ,21,positive
4709,Aang,im really glad you told me that  but i still need to do this ,21,positive
4710,Katara,  i dont understand ,21,positive
4711,Aang,  no  you dont  every day  more and more people die  im already one hundred years late  defeating the fire lord is the only way to stop this war  i have to try it ,21,positive
4712,Katara,  i cant watch you do this to yourself  im not coming tomorrow    good night ,21,positive
4713,Aang,  good night ,21,positive
4715,Zuko,  were going home  after three long years  its unbelievable ,21,positive
4716,Iroh,  it is unbelievable  i have never known my brother to regret anything ,21,positive
4717,Zuko,did you listen to azula  fathers realized how important family is to him    he cares about me ,21,positive
4718,Iroh,  i care about you  and if ozai wants you back  well  i think it may not be for the reasons you imagine ,21,positive
4719,Zuko,  you dont know how my father feels about me  you dont know anything ,21,positive
4720,Iroh,zuko  i only meant that in our family  things are not always what they seem ,21,positive
4721,Zuko,  i think you are exactly what you seem  a lazy  mistrustful  shallow old man whos always been jealous of his brother ,21,positive
4723,Aang,  sokka  sokka  wake up ,21,positive
4724,Sokka,huh ,21,positive
4725,Aang,i dont think we should be trying to bring on the avatar state ,21,positive
4726,Sokka,you sure ,21,positive
4727,Aang,yes ,21,positive
4728,Sokka,  okay ,21,positive
4729,Aang,do you think the general will be mad ,21,positive
4730,Sokka,what can he say  youre the avatar  who knows better than you ,21,positive
4732,Iroh,  wait  dont leave without me ,21,positive
4733,Zuko,  uncle  youve changed your mind ,21,positive
4734,Iroh,family sticks together  right   ,21,positive
4736,Zuko,were finally going home ,21,positive
